feature_id,feature,user_story,expected_behavior,code_evidence,status,ux_error,fix_direction,retest_status
F001,Caregiver chat input,"As a family caregiver, I want to ask Qwen for tomorrow clinic preparation in my own words.",A bottom/central chat composer accepts an editable question and sends it without hidden fixed text.,App.tsx now renders PromptComposer with editable textarea and Send submit.,fixed,Resolved: user can see and edit the caregiver prompt.,Keep prompt visible as the first interaction surface.,passed
F002,Three-answer comparison,"As a judge, I want to compare No Memory, Raw Memory, and ERINYS + Qwen from the same user question.","After one send, three answer panels appear side by side with clear mode labels and risk/value framing.",App.tsx now renders AnswerCard columns for the three modes plus Answer Diff banner.,fixed,Resolved: same-prompt comparison is now the main layout.,Keep the three actual answer bodies as the primary visual center.,passed
F003,No Memory baseline,"As a judge, I want to see the generic answer quality without memory.","The baseline answer should look useful but shallow, showing what Qwen misses without context.",No Memory card now shows baseline badge and missing-context outcomes.,fixed,Resolved: missing taxi / medication notebook / personal context is explicit.,Keep baseline visibly useful but shallow.,passed
F004,Raw Memory risk,"As a judge, I want to see why passing all memory directly is dangerous.",Raw Memory answer visibly includes stale routines or private identifiers and receives a risk warning.,qwen_adapter mock now exposes synthetic private ID/address and stale train/ramen routine for the Raw Memory mode.,fixed,Resolved: dangerous snippets are highlighted in the Raw Memory answer.,Keep all risky data synthetic and clearly marked unsafe.,passed
F005,ERINYS governed answer,"As a caregiver, I want the final answer to use only current safe care context.","ERINYS + Qwen answer should mention afternoon appointment, taxi, medication notebook, low-sodium food, and avoid private identifiers.",ERINYS + Qwen card now has governed badge and green highlighted safe snippets.,fixed,Resolved: governed answer is positioned as the best answer without making it a marketing hero.,Keep safe care briefing concise and non-diagnostic.,passed
F006,Memory governance audit,"As a judge, I want to know why each memory was selected, demoted, contradicted, or blocked.",Right-side audit console displays counts and an inspectable decision list with reasons.,App.tsx now renders MemoryDecisionPanel as persistent right rail.,fixed,Resolved: audit is no longer buried inside one answer card.,Keep decision panel secondary to the three answer bodies.,passed
F007,Sensitive data blocking,"As a caregiver, I want private identifiers never exposed in the governed answer.","Sensitive records are blocked and shown as blocked in audit, not included in Qwen context.",Decision panel lists blocked synthetic insurance/address records and governed answer avoids them.,fixed,Resolved: privacy win is visible in Raw versus ERINYS comparison.,Add redacted preview later only if it does not steal focus from answer diff.,passed
F008,Outdated memory demotion,"As a caregiver, I want old routines ignored when newer care constraints conflict.","Stale routines are demoted or contradicted, and the final answer follows newer memory.",TransformColumn and MemoryDecisionPanel show demotion of stale routine while ERINYS answer uses taxi/avoid stairs.,fixed,Resolved: stale routine loses to current care context on screen.,Keep demotion callout short.,passed
F009,Token efficiency,"As a judge, I want to see that governance reduces context size.",UI shows raw memory token estimate versus governed prompt token estimate and percent saved.,TokenEfficiency strip now compares Raw Memory and ERINYS context tokens.,partial,Remaining issue: current seed only shows 29% savings, which is less dramatic than the target mockup.,Adjust seed size or selected-memory threshold if stronger token-savings demo is needed.,needs_retest
F010,Demo legibility for video,"As a hackathon judge, I want to understand the product in 10 seconds during a video.","The first viewport says: same question, three answers, ERINYS chooses safe memory for Qwen.",Top banner now says Same prompt three memory strategies and the first viewport shows the answer diff.,fixed,Resolved: first viewport reveals the interaction model.,Use this screen as the video opening shot.,passed
